Profile_ID,NPI,First_Name,Middle_Name,Last_Name,Program_Year,Total_Amount_Invested_USDollars,Value_of_Interest,Terms_of_Interest,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Category,Indicate_Drug_or_Biological_or_Device_or_Medical_Supply_1,Product_Category_or_Therapeutic_Area_1,Name_of_Drug_or_Biological_or_Device_or_Medical_Supply_1,Total_Amount_of_Payment_USDollars,Form_of_Payment_or_Transfer_of_Value,Name_of_Study,Nature_of_Payment_or_Transfer_of_Value,Product_Indicator,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Device_or_Medical_Supply1,Contributed_Articles
112106,1477714665,Nirav,,Amin,2020,450000.0,533629.0,Series C Stock,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,0.0,462.13,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,0.0,488.13,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,0.0,611.55,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,0.0,351.0,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,0.0,351.0,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,0.0,351.0,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,0.0,351.0,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,22
112106,1477714665,Nirav,,Amin,2020,30343.0,30343.0,Preferred Shares,"Biorez, Inc.",OWNRSHP,,,,,,,,,,,22
120090,1649259557,Steven,,Moran,2020,25000.0,50000.0,Restricted Common Stock,"ActivOrtho, Inc.",OWNRSHP,,,,,,,,,,,11
336611,1407865314,Jeffrey,,Greenberg,2020,0.0,351.0,stock options,"Trice Medical, Inc.",OWNRSHP,,,,,,,,,,,"5, 14, 18"
